protein,pathway,relationship
RPS2,"Formation of the ternary complex, and subsequently, the 43S complex",PARTICIPATES_IN
RPS3,Translation initiation complex formation,PARTICIPATES_IN
RPS3A,Translation initiation complex formation,PARTICIPATES_IN
RPS2,Translation initiation complex formation,PARTICIPATES_IN
RPS3,Ribosomal scanning and start codon recognition,PARTICIPATES_IN
RPS3A,Ribosomal scanning and start codon recognition,PARTICIPATES_IN
RPS2,Ribosomal scanning and start codon recognition,PARTICIPATES_IN
RPS3,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",PARTICIPATES_IN
RPS3A,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",PARTICIPATES_IN
RPS2,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",PARTICIPATES_IN
HSF1,HSF1 activation,PARTICIPATES_IN
EEF1A1,HSF1 activation,PARTICIPATES_IN
EEF1A1,Protein methylation,PARTICIPATES_IN
RPS2,Protein methylation,PARTICIPATES_IN
EEF1A1,SARS-CoV Infections,PARTICIPATES_IN
RPS3,SARS-CoV Infections,PARTICIPATES_IN
RPS3A,SARS-CoV Infections,PARTICIPATES_IN
RPS2,SARS-CoV Infections,PARTICIPATES_IN
RPS3,SARS-CoV-2-host interactions,PARTICIPATES_IN
RPS3A,SARS-CoV-2-host interactions,PARTICIPATES_IN
RPS2,SARS-CoV-2-host interactions,PARTICIPATES_IN
HSF1,Cellular response to heat stress,PARTICIPATES_IN
EEF1A1,Cellular response to heat stress,PARTICIPATES_IN
RPS3,SARS-CoV-2 Infection,PARTICIPATES_IN
RPS3A,SARS-CoV-2 Infection,PARTICIPATES_IN
RPS2,SARS-CoV-2 Infection,PARTICIPATES_IN
PAPSS1,Glycosaminoglycan metabolism,PARTICIPATES_IN
PAPSS2,Glycosaminoglycan metabolism,PARTICIPATES_IN
HSF1,Attenuation phase,PARTICIPATES_IN
