ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-72649,Translation initiation complex formation,3/18,59/11287,0.05084745762711865,31.88418079096045,9.505489271144302,1.0470393776983648e-4,2.68834434814445e-4,1.191509960396432e-4,RPS3/RPS3A/RPS2,3
R-HSA-72702,Ribosomal scanning and start codon recognition,3/18,59/11287,0.05084745762711865,31.88418079096045,9.505489271144302,1.0470393776983648e-4,2.68834434814445e-4,1.191509960396432e-4,RPS3/RPS3A/RPS2,3
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",3/18,60/11287,0.05,31.352777777777774,9.421190646906988,1.1010476676691175e-4,2.7526191691727936e-4,1.219997415699853e-4,RPS3/RPS3A/RPS2,3
R-HSA-3371511,HSF1 activation,2/18,12/11287,0.16666666666666666,104.50925925925927,14.337556240898623,1.570510435806117e-4,3.825602343630285e-4,1.695557825431705e-4,HSF1/EEF1A1,2
R-HSA-8876725,Protein methylation,2/18,19/11287,0.10526315789473684,66.00584795321637,11.333639515779034,4.0422214590222014e-4,9.600275965177728e-4,4.254969956865475e-4,EEF1A1/RPS2,2
R-HSA-9679506,SARS-CoV Infections,4/18,415/11287,0.00963855421686747,6.0439089692101735,4.184081665247633,0.003657259815843261,0.008430018905807406,0.0037362964679478797,EEF1A1/RPS3/RPS3A/RPS2,4
R-HSA-9705683,SARS-CoV-2-host interactions,3/18,201/11287,0.014925373134328358,9.359038142620232,4.7789279688115975,0.0037269557267780107,0.008430018905807406,0.0037362964679478797,RPS3/RPS3A/RPS2,3
R-HSA-3371556,Cellular response to heat stress,2/18,89/11287,0.02247191011235955,14.091136079900124,4.955251425210639,0.008665570769195998,0.01914486565287488,0.0084852590151246,HSF1/EEF1A1,2
R-HSA-9694516,SARS-CoV-2 Infection,3/18,301/11287,0.009966777408637873,6.249723145071982,3.689465359758325,0.011384298704016024,0.024579735838216415,0.01089406574546988,RPS3/RPS3A/RPS2,3
R-HSA-1630316,Glycosaminoglycan metabolism,2/18,136/11287,0.014705882352941176,9.221405228758169,3.854980514826705,0.019436171760342826,0.04103191816072374,0.018185891705583927,PAPSS1/PAPSS2,2
R-HSA-3371568,Attenuation phase,1/18,14/11287,0.07142857142857142,44.78968253968254,6.552086874529749,0.022109208561942317,0.04566032203009826,0.0202372618415948,HSF1,1
