stitch_flat_id,stitch_stereo_id,label_umls_id,meddra_concept_type,meddra_umls_id,side_effect_name,sider_version
CID100000137,CID000000137,C0851341,PT,C1384353,Infestation,4.1
CID100000137,CID000000137,C0023518,PT,C0023518,Leukocytosis,4.1
CID100000137,CID000000137,C0162835,PT,C0162835,Leukoderma,4.1
CID100000137,CID000000137,C0004936,PT,C0004936,Mental disorder,4.1
CID100000137,CID000000137,C0027497,PT,C0027497,Nausea,4.1
CID100000137,CID000000137,C0027651,PT,C0027651,Neoplasm,4.1
CID100000137,CID000000137,C0027765,PT,C0027765,Nervous system disorder,4.1
CID100000137,CID000000137,C0027769,PT,C0027769,Nervousness,4.1
CID100000137,CID000000137,C0013604,PT,C0013604,Oedema,4.1
CID100000137,CID000000137,C0030193,PT,C0030193,Pain,4.1
CID100000137,CID000000137,C0030554,PT,C0030554,Paraesthesia,4.1
CID100000137,CID000000137,C0031256,PT,C0031256,Petechiae,4.1
CID100000137,CID000000137,C0920193,PT,C0920193,Photodermatosis,4.1
CID100000137,CID000000137,C0038814,PT,C0162830,Photosensitivity reaction,4.1
CID100000137,CID000000137,C0033774,PT,C0033774,Pruritus,4.1
CID100000137,CID000000137,C0015230,PT,C0015230,Rash,4.1
CID100000137,CID000000137,C0423791,PT,C0423791,Rash maculo-papular,4.1
CID100000137,CID000000137,C0085641,PT,C0085641,Rash pustular,4.1
CID100000137,CID000000137,C0035229,PT,C1145670,Respiratory failure,4.1
CID100000137,CID000000137,C0205204,PT,C0205204,Scab,4.1
CID100000137,CID000000137,C0036508,PT,C0036508,Seborrhoeic dermatitis,4.1
CID100000137,CID000000137,C0699893,PT,C0007114,Skin cancer,4.1
CID100000137,CID000000137,C0037274,PT,C0037274,Skin disorder,4.1
CID100000137,CID000000137,C0237849,PT,C0237849,Skin exfoliation,4.1
CID100000137,CID000000137,C0162834,PT,C0162834,Skin hyperpigmentation,4.1
CID100000137,CID000000137,C0151717,PT,C0151717,Skin hypertrophy,4.1
CID100000137,CID000000137,C0241166,PT,C0241166,Skin tightness,4.1
CID100000137,CID000000137,C0038814,PT,C0038814,Sunburn,4.1
CID100000137,CID000000137,C0234233,PT,C0234233,Tenderness,4.1
CID100000137,CID000000137,C0027769,PT,C0233494,Tension,4.1
CID100000137,CID000000137,C0040034,PT,C0040034,Thrombocytopenia,4.1
CID100000137,CID000000137,C0041582,PT,C0041582,Ulcer,4.1
CID100000137,CID000000137,C0221232,PT,C0042109,Urticaria,4.1
CID100000137,CID000000137,C0042963,PT,C0042963,Vomiting,4.1
CID100000137,CID000000137,C0406834,PT,C0406834,Wound secretion,4.1
CID100000143,CID000149436,C0000737,PT,C0000737,Abdominal pain,4.1
CID100000143,CID000149436,C0232495,PT,C0232495,Abdominal pain lower,4.1
CID100000143,CID000149436,C0232492,PT,C0232492,Abdominal pain upper,4.1
CID100000143,CID000149436,C0232498,PT,C0232498,Abdominal tenderness,4.1
CID100000143,CID000000143,C0002170,PT,C0002170,Alopecia,4.1
CID100000143,CID000006006,C0002170,PT,C0002170,Alopecia,4.1
CID100000143,CID000149436,C0002170,PT,C0002170,Alopecia,4.1
CID100000143,CID000000143,C0340865,PT,C0002792,Anaphylactic shock,4.1
CID100000143,CID000006006,C0340865,PT,C0002792,Anaphylactic shock,4.1
CID100000143,CID000000143,C0340865,PT,C0340865,Anaphylactoid reaction,4.1
CID100000143,CID000006006,C0340865,PT,C0340865,Anaphylactoid reaction,4.1
CID100000143,CID000000143,C0015672,PT,C0004093,Asthenia,4.1
CID100000143,CID000006006,C0015672,PT,C0004093,Asthenia,4.1
CID100000143,CID000149436,C0004093,PT,C0004093,Asthenia,4.1
CID100000143,CID000000143,C0700225,PT,C0235431,Blood creatinine increased,4.1
CID100000143,CID000006006,C0015967,PT,C0015967,Body temperature increased,4.1
CID100000143,CID000149436,C0267537,PT,C0267537,Caecitis,4.1
CID100000143,CID000149436,C0424790,PT,C0085593,Chills,4.1
CID100000143,CID000149436,C0009676,PT,C0009676,Confusional state,4.1
CID100000143,CID000000143,C0009806,PT,C0009806,Constipation,4.1
CID100000143,CID000006006,C0009806,PT,C0009806,Constipation,4.1
CID100000143,CID000000143,C0036572,PT,C0036572,Convulsion,4.1
CID100000143,CID000006006,C0036572,PT,C0036572,Convulsion,4.1
CID100000143,CID000000143,C0003123,PT,C0232462,Decreased appetite,4.1
CID100000143,CID000006006,C0003123,PT,C0232462,Decreased appetite,4.1
CID100000143,CID000149436,C0003123,PT,C0232462,Decreased appetite,4.1
CID100000143,CID000000143,C0011603,PT,C0011603,Dermatitis,4.1
CID100000143,CID000006006,C0011603,PT,C0011603,Dermatitis,4.1
CID100000143,CID000149436,C0011603,PT,C0011603,Dermatitis,4.1
CID100000143,CID000000143,C0011991,PT,C0011991,Diarrhoea,4.1
CID100000143,CID000006006,C0011991,PT,C0011991,Diarrhoea,4.1
CID100000143,CID000149436,C0011991,PT,C0011991,Diarrhoea,4.1
