compound_id,alias,normalised_alias,alias_type
REF_NANNOCYSTIN_A,REF_NANNOCYSTIN_A,refnannocystina,compound_id
REF_NANNOCYSTIN_A,Nannocystin A,nannocystina,compound_name
REF_NANNOCYSTIN_A,132087316,132087316,pubchem_cid
REF_NANNOCYSTIN_A,PEOAVEOEVIQCMT-XWDGXJISSA-N,peoaveoeviqcmtxwdgxjissan,full_inchi_key
REF_PLITIDEPSIN,REF_PLITIDEPSIN,refplitidepsin,compound_id
REF_PLITIDEPSIN,Plitidepsin,plitidepsin,compound_name
REF_PLITIDEPSIN,9812534,9812534,pubchem_cid
REF_PLITIDEPSIN,UUSZLLQJYRSZIS-LXNNNBEUSA-N,uuszllqjyrszislxnnnbeusan,full_inchi_key
REF_TERNATIN_4,REF_TERNATIN_4,refternatin4,compound_id
REF_TERNATIN_4,Ternatin-4,ternatin4,compound_name
REF_TERNATIN_4,165362916,165362916,pubchem_cid
REF_TERNATIN_4,DWMRBCXTWRBFJC-UQQOESNSSA-N,dwmrbcxtwrbfjcuqqoesnssan,full_inchi_key
A17_ALPRAZOLAM,A17_ALPRAZOLAM,a17alprazolam,compound_id
A17_ALPRAZOLAM,alprazolam,alprazolam,compound_name
A17_ALPRAZOLAM,CHEMBL661,chembl661,chembl_id
A17_ALPRAZOLAM,2118,2118,pubchem_cid
A17_ALPRAZOLAM,VREFGVBLTWBCJP-UHFFFAOYSA-N,vrefgvbltwbcjpuhfffaoysan,full_inchi_key
A17_IMATINIB,A17_IMATINIB,a17imatinib,compound_id
A17_IMATINIB,imatinib,imatinib,compound_name
A17_IMATINIB,CHEMBL941,chembl941,chembl_id
A17_IMATINIB,5291,5291,pubchem_cid
A17_IMATINIB,KTUFNOKKBVMGRW-UHFFFAOYSA-N,ktufnokkbvmgrwuhfffaoysan,full_inchi_key
A17_NILOTINIB,A17_NILOTINIB,a17nilotinib,compound_id
A17_NILOTINIB,nilotinib,nilotinib,compound_name
A17_NILOTINIB,CHEMBL255863,chembl255863,chembl_id
A17_NILOTINIB,644241,644241,pubchem_cid
A17_NILOTINIB,HHZIURLSWUIHRB-UHFFFAOYSA-N,hhziurlswuihrbuhfffaoysan,full_inchi_key
A17_PONATINIB,A17_PONATINIB,a17ponatinib,compound_id
A17_PONATINIB,ponatinib,ponatinib,compound_name
A17_PONATINIB,CHEMBL1171837,chembl1171837,chembl_id
A17_PONATINIB,24826799,24826799,pubchem_cid
A17_PONATINIB,PHXJVRSECIGDHY-UHFFFAOYSA-N,phxjvrsecigdhyuhfffaoysan,full_inchi_key
A17_TEMAZEPAM,A17_TEMAZEPAM,a17temazepam,compound_id
A17_TEMAZEPAM,temazepam,temazepam,compound_name
A17_TEMAZEPAM,CHEMBL967,chembl967,chembl_id
A17_TEMAZEPAM,5391,5391,pubchem_cid
A17_TEMAZEPAM,SEQDDYPDSLOBDC-UHFFFAOYSA-N,seqddypdslobdcuhfffaoysan,full_inchi_key
A17_TRIAZOLAM,A17_TRIAZOLAM,a17triazolam,compound_id
A17_TRIAZOLAM,triazolam,triazolam,compound_name
A17_TRIAZOLAM,CHEMBL646,chembl646,chembl_id
A17_TRIAZOLAM,5556,5556,pubchem_cid
A17_TRIAZOLAM,JOFWLTCLBGQGBO-UHFFFAOYSA-N,jofwltclbgqgbouhfffaoysan,full_inchi_key
