sider_stitch_flat_id,sider_drug_name,sider_pubchem_cid,sider_inchi_key,atc_codes,unique_side_effect_count,nearest_query_id,nearest_query_name,nearest_query_class,nearest_query_tanimoto,similarity_band
CID100130881,olmesartan,130881,UQGKUQLKSCSZGY-UHFFFAOYSA-N,C09CA08,55,CHEMBL1802815,CHEMBL1802815,network_candidate,0.2184873949579832,structurally_distant_under_this_fingerprint
CID111556711,Carfilzomib,11556711,BLMPQMFVWMYDKT-NZTKNTHTSA-N,,62,CHEMBL1802815,CHEMBL1802815,network_candidate,0.21818181818181817,structurally_distant_under_this_fingerprint
CID100216210,dabigatran,216210,YBSJFWOBGCMAKL-UHFFFAOYSA-N,,39,CHEMBL1802815,CHEMBL1802815,network_candidate,0.21818181818181817,structurally_distant_under_this_fingerprint
CID100077992,frovatriptan,77992,XPSQPHWEGNHMSK-SECBINFHSA-N,N02CC07,147,CHEMBL1802973,CHEMBL1802973,network_candidate,0.21739130434782608,structurally_distant_under_this_fingerprint
CID100005717,zafirlukast,5717,YEEZWCHGZNKEEK-UHFFFAOYSA-N,R03DC01,69,CHEMBL1802814,CHEMBL1802814,network_candidate,0.216,structurally_distant_under_this_fingerprint
CID100003759,isocarboxazid,3759,XKFPYPQQHFEXRZ-UHFFFAOYSA-N,N06AF01,41,CHEMBL1802815,CHEMBL1802815,network_candidate,0.2159090909090909,structurally_distant_under_this_fingerprint
CID110113978,pazopanib,10113978,CUIHSIWYWATEQL-UHFFFAOYSA-N,L01XE11,213,CHEMBL3752910,CHEMBL3752910,network_candidate,0.21568627450980393,structurally_distant_under_this_fingerprint
CID111597697,lisdexamfetamine,11597697,CETWSOHVEGTIBR-FORAGAHYSA-N,,78,CHEMBL1802815,CHEMBL1802815,network_candidate,0.21505376344086022,structurally_distant_under_this_fingerprint
CID100002541,candesartan,2541,HTQMVQVXFRQIKW-UHFFFAOYSA-N,C09CA06,78,CHEMBL1802815,CHEMBL1802815,network_candidate,0.21495327102803738,structurally_distant_under_this_fingerprint
CID100158781,olmesartan,158781,VTRAEEWXHOVJFV-UHFFFAOYSA-N,,147,CHEMBL1802815,CHEMBL1802815,network_candidate,0.21495327102803738,structurally_distant_under_this_fingerprint
CID116137271,insulin,16137271,UGOZVNFCFYTPAZ-IOXYNQHNSA-N,A10AE05,255,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.21481481481481482,structurally_distant_under_this_fingerprint
CID100002727,chlorpropamide,2727,RKWGIWYCVPQPMF-UHFFFAOYSA-N,A10BB02,31,CHEMBL1232461,MOLIBRESIB,network_candidate,0.21333333333333335,structurally_distant_under_this_fingerprint
CID100005076,ritonavir,5076,NCDNCNXCDXHOMX-UHFFFAOYSA-N,J05AE03,319,CHEMBL1802815,CHEMBL1802815,network_candidate,0.21311475409836064,structurally_distant_under_this_fingerprint
CID100004497,nimodipine,4497,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,C08CA06,50,CHEMBL1802973,CHEMBL1802973,network_candidate,0.21212121212121213,structurally_distant_under_this_fingerprint
CID111238823,azilsartan,11238823,QJFSABGVXDWMIW-UHFFFAOYSA-N,,20,CHEMBL1802815,CHEMBL1802815,network_candidate,0.211864406779661,structurally_distant_under_this_fingerprint
CID100115355,NTBC,115355,OUBCNLGXQFSTLU-UHFFFAOYSA-N,A16AX04,56,CHEMBL1802973,CHEMBL1802973,network_candidate,0.2111111111111111,structurally_distant_under_this_fingerprint
CID100003393,flurazepam,3393,SAADBVWGJQAEFS-UHFFFAOYSA-N,N05CD01,57,CHEMBL1232461,MOLIBRESIB,network_candidate,0.2111111111111111,structurally_distant_under_this_fingerprint
CID116129672,Insulin,16129672,PBGKTOXHQIOBKM-FHFVDXKLSA-N,A10AB01; A10AB02; A10AB03; A10AC01; A10AC02; A10AC03; A10AD01; A10AD02; A10AD03; A10AE01; A10AE02; A10AE03; A10AF01,159,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.21052631578947367,structurally_distant_under_this_fingerprint
CID144146714,Lantus,44146714,COCFEDIXXNGUNL-RFKWWTKHSA-N,A10AE04,89,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.21052631578947367,structurally_distant_under_this_fingerprint
CID100062819,Metrodin,62819,ZDRRIRUAESZNIH-UHFFFAOYSA-N,G03GA04,230,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.20930232558139536,structurally_distant_under_this_fingerprint
CID116129703,Revasc,16129703,XYWBJDRHGNULKG-OUMQNGNKSA-N,B01AE01,58,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.20930232558139536,structurally_distant_under_this_fingerprint
CID100003957,loratadine,3957,JCCNYMKQOSZNPW-UHFFFAOYSA-N,R06AX13,67,CHEMBL1232461,MOLIBRESIB,network_candidate,0.2087912087912088,structurally_distant_under_this_fingerprint
CID100004443,nateglinide,4443,OELFLUMRDSZNSF-UHFFFAOYSA-N,A10BX03,40,CHEMBL1802815,CHEMBL1802815,network_candidate,0.2087912087912088,structurally_distant_under_this_fingerprint
CID100050294,nedocromil,50294,RQTOOFIXOKYGAN-UHFFFAOYSA-N,R01AC07; R03BC03; S01GX04,51,CHEMBL1802815,CHEMBL1802815,network_candidate,0.20833333333333334,structurally_distant_under_this_fingerprint
CID116158207,linaclotide,16158207,KWFNVZFWXXEJKL-YZDVLOIKSA-N,,36,REF_PLITIDEPSIN,Plitidepsin,reference_ligand,0.20765027322404372,structurally_distant_under_this_fingerprint
CID100156418,cinacalcet,156418,QANQWUQOEJZMLL-PKLMIRHRSA-N,H05BX01,58,CHEMBL3752910,CHEMBL3752910,network_candidate,0.20652173913043478,structurally_distant_under_this_fingerprint
CID100003488,glibenclamide,3488,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,A10BB01,86,CHEMBL1232461,MOLIBRESIB,network_candidate,0.20618556701030927,structurally_distant_under_this_fingerprint
CID100003869,labetalol,3869,SGUAFYQXFOLMHL-UHFFFAOYSA-N,C07AG01,108,CHEMBL1802815,CHEMBL1802815,network_candidate,0.20618556701030927,structurally_distant_under_this_fingerprint
CID100148192,atazanavir,148192,AXRYRYVKAWYZBR-GASGPIRDSA-N,J05AE08,213,CHEMBL1802815,CHEMBL1802815,network_candidate,0.20535714285714285,structurally_distant_under_this_fingerprint
CID100002250,atorvastatin,2250,XUKUURHRXDUEBC-UHFFFAOYSA-N,C10AA05,209,CHEMBL3752910,CHEMBL3752910,network_candidate,0.20388349514563106,structurally_distant_under_this_fingerprint
CID100151171,conivaptan,151171,IKENVDNFQMCRTR-UHFFFAOYSA-N,C03XA02,60,CHEMBL3752910,CHEMBL3752910,network_candidate,0.20388349514563106,structurally_distant_under_this_fingerprint
CID124950485,cobicistat,24950485,ZCIGNRJZKPOIKD-UHFFFAOYSA-N,,46,CHEMBL1802815,CHEMBL1802815,network_candidate,0.203125,structurally_distant_under_this_fingerprint
CID109940864,Benicar-HCT,9940864,CJPRWUSPLWISJM-UHFFFAOYSA-N,,71,CHEMBL1802815,CHEMBL1802815,network_candidate,0.20279720279720279,structurally_distant_under_this_fingerprint
CID100064929,fenofibric,64929,MQOBSOSZFYZQOK-UHFFFAOYSA-N,,49,CHEMBL1232461,MOLIBRESIB,network_candidate,0.20270270270270271,structurally_distant_under_this_fingerprint
CID100000937,niacin,937,PVNIIMVLHYAWGP-UHFFFAOYSA-M,C04AC01; C10AD02,156,CHEMBL3752910,CHEMBL3752910,network_candidate,0.20270270270270271,structurally_distant_under_this_fingerprint
CID116130199,Enfuvirtide,16130199,PEASPLKKXBYDKL-FXEVSJAOSA-N,J05AX07,133,CHEMBL1802815,CHEMBL1802815,network_candidate,0.20261437908496732,structurally_distant_under_this_fingerprint
CID122834577,nesiritide,22834577,KSFAMFKTRGJQKV-VJLHJAMZSA-N,C01DX19,30,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.2024793388429752,structurally_distant_under_this_fingerprint
CID100002443,bromocriptine,2443,OZVBMTJYIDMWIL-UHFFFAOYSA-N,G02CB01; N04BC01,138,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.20238095238095238,structurally_distant_under_this_fingerprint
CID100003397,flutamide,3397,MKXKFYHWDHIYRV-UHFFFAOYSA-N,L02BB01,80,CHEMBL1802973,CHEMBL1802973,network_candidate,0.20224719101123595,structurally_distant_under_this_fingerprint
CID111001318,tafamidis,11001318,TXEIIPDJKFWEEC-UHFFFAOYSA-N,,7,CHEMBL1802815,CHEMBL1802815,network_candidate,0.20224719101123595,structurally_distant_under_this_fingerprint
CID116136245,degarelix,16136245,MEUCPCLKGZSHTA-XYAYPHGZSA-N,L02BX02,112,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.20202020202020202,structurally_distant_under_this_fingerprint
CID116130957,Org,16130957,GJNXBNATEDXMAK-PFLSVRRQSA-N,H01CC01,47,CHEMBL1802815,CHEMBL1802815,network_candidate,0.2012987012987013,structurally_distant_under_this_fingerprint
CID100072081,Terlipressin,72081,BENFXAYNYRLAIU-QSVFAHTRSA-N,H01BA04,42,REF_PLITIDEPSIN,Plitidepsin,reference_ligand,0.2011173184357542,structurally_distant_under_this_fingerprint
CID116131215,Abarelix,16131215,AIWRTTMUVOZGPW-HSPKUQOVSA-N,L02BX01,23,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.20103092783505155,structurally_distant_under_this_fingerprint
CID103062316,dasatinib,3062316,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,L01XE06,273,CHEMBL3752910,CHEMBL3752910,network_candidate,0.2,structurally_distant_under_this_fingerprint
CID100004031,mebeverine,4031,VYVKHNNGDFVQGA-UHFFFAOYSA-N,A03AA04,17,CHEMBL1802814,CHEMBL1802814,network_candidate,0.2,structurally_distant_under_this_fingerprint
CID100001301,naproxen,1301,CDBRNDSHEYLDJV-UHFFFAOYSA-M,G02CC02; M01AE02; M02AA12,317,CHEMBL1232461,MOLIBRESIB,network_candidate,0.2,structurally_distant_under_this_fingerprint
CID116158473,o291,16158473,GCHUIMDVRMNWQE-ZJWADALWSA-N,,19,CHEMBL1802815,CHEMBL1802815,network_candidate,0.2,structurally_distant_under_this_fingerprint
CID100005771,oxytocin,5771,XNOPRXBHLZRZKH-UHFFFAOYSA-N,H01BB02,49,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.2,structurally_distant_under_this_fingerprint
CID100148121,pralatrexate,148121,OGSBUKJUDHAQEA-WMCAAGNKSA-N,L01BA05,37,CHEMBL1802815,CHEMBL1802815,network_candidate,0.2,structurally_distant_under_this_fingerprint
CID100004547,repaglinide,4547,FAEKWTJYAYMJKF-UHFFFAOYSA-N,A10BX02,64,CHEMBL1802814,CHEMBL1802814,network_candidate,0.2,structurally_distant_under_this_fingerprint
CID100002909,v,2909,PMATZTZNYRCHOR-UHFFFAOYSA-N,L04AD01; S01XA18,300,REF_TERNATIN_4,Ternatin-4,reference_ligand,0.2,structurally_distant_under_this_fingerprint
CID100208898,dronedarone,208898,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,,44,CHEMBL1802814,CHEMBL1802814,network_candidate,0.19827586206896552,structurally_distant_under_this_fingerprint
CID100022502,procaine,22502,KZDCMKVLEYCGQX-UDPGNSCCSA-N,J01CE09,30,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19827586206896552,structurally_distant_under_this_fingerprint
CID100002161,amlexanox,2161,SGRYPYWGNKJSDL-UHFFFAOYSA-N,A01AD07; R03DX01,12,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19791666666666666,structurally_distant_under_this_fingerprint
CID104659569,tolcapone,4659569,MIQPIUSUKVNLNT-UHFFFAOYSA-N,N04BX01,253,CHEMBL1802973,CHEMBL1802973,network_candidate,0.19767441860465115,structurally_distant_under_this_fingerprint
CID100005577,trimethobenzamide,5577,FEZBIKUBAYAZIU-UHFFFAOYSA-N,,15,CHEMBL1232461,MOLIBRESIB,network_candidate,0.19767441860465115,structurally_distant_under_this_fingerprint
CID100003007,amphetamine,3007,KWTSXDURSIMDCE-UHFFFAOYSA-N,N06BA01; N06BA02,128,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19736842105263158,structurally_distant_under_this_fingerprint
CID100213039,darunavir,213039,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,J05AE10,267,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19658119658119658,structurally_distant_under_this_fingerprint
CID100104758,raltitrexed,104758,IVTVGDXNLFLDRM-HNNXBMFYSA-N,L01BA03,53,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19642857142857142,structurally_distant_under_this_fingerprint
CID100003405,folate,3405,OVBPIULPVIDEAO-UHFFFAOYSA-N,B03BB01,26,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19626168224299065,structurally_distant_under_this_fingerprint
CID100060843,pemetrexed,60843,WBXPDJSOTKVWSJ-CYBMUJFWSA-N,L01BA04,113,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19626168224299065,structurally_distant_under_this_fingerprint
CID100047528,nicorandil,47528,LBHIOVVIQHSOQN-UHFFFAOYSA-N,C01DX16,87,CHEMBL3752910,CHEMBL3752910,network_candidate,0.19540229885057472,structurally_distant_under_this_fingerprint
CID100003958,lorazepam,3958,DIWRORZWFLOCLC-UHFFFAOYSA-N,N05BA06,114,CHEMBL1232461,MOLIBRESIB,network_candidate,0.1951219512195122,structurally_distant_under_this_fingerprint
CID100002177,amprenavir,2177,YMARZQAQMVYCKC-UHFFFAOYSA-N,J05AE05,63,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19469026548672566,structurally_distant_under_this_fingerprint
CID140468184,acenocoumarol,40468184,WWBYDEQHYAEHLT-HNNXBMFYSA-M,B01AA07,26,CHEMBL1802973,CHEMBL1802973,network_candidate,0.19387755102040816,structurally_distant_under_this_fingerprint
CID100004158,methylphenidate,4158,DUGOZIWVEXMGBE-UHFFFAOYSA-N,N06BA04; N06BA11,295,CHEMBL1802814,CHEMBL1802814,network_candidate,0.19387755102040816,structurally_distant_under_this_fingerprint
CID100002881,sodium,2881,IMZMKUWMOSJXDT-UHFFFAOYSA-L,A07EB01; D11AH03; R01AC01; R03BC01; S01GX01,106,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1935483870967742,structurally_distant_under_this_fingerprint
CID100071360,iloperidone,71360,XMXHEBAFVSFQEX-UHFFFAOYSA-N,,146,CHEMBL1802814,CHEMBL1802814,network_candidate,0.19327731092436976,structurally_distant_under_this_fingerprint
CID125074886,cetrorelix,25074886,QJPSZAPHZMUGOX-ANRVCLKPSA-N,H01CC02,35,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19254658385093168,structurally_distant_under_this_fingerprint
CID100001206,methamphetamine,1206,MYWUZJCMWCOHBA-UHFFFAOYSA-N,N06BA03,19,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19230769230769232,structurally_distant_under_this_fingerprint
CID100003848,phenyllactate,3848,VOXXWSYKYCBWHO-UHFFFAOYSA-N,,13,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19230769230769232,structurally_distant_under_this_fingerprint
CID111167602,regorafenib,11167602,FNHKPVJBJVTLMP-UHFFFAOYSA-N,,85,CHEMBL3752910,CHEMBL3752910,network_candidate,0.19230769230769232,structurally_distant_under_this_fingerprint
CID100002540,candesartan,2540,GHOSNRCGJFBJIB-UHFFFAOYSA-N,,173,CHEMBL1802815,CHEMBL1802815,network_candidate,0.192,structurally_distant_under_this_fingerprint
CID100216239,sorafenib,216239,MLDQJTXFUGDVEO-UHFFFAOYSA-N,L01XE05,180,CHEMBL3752910,CHEMBL3752910,network_candidate,0.1919191919191919,structurally_distant_under_this_fingerprint
CID142611257,vemurafenib,42611257,GPXBXXGIAQBQNI-UHFFFAOYSA-N,,81,CHEMBL1232461,MOLIBRESIB,network_candidate,0.1919191919191919,structurally_distant_under_this_fingerprint
CID100131535,fosamprenavir,131535,PMDQGYMGQKTCSX-HQROKSDRSA-L,J05AE07,63,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19166666666666668,structurally_distant_under_this_fingerprint
CID100004030,mebendazole,4030,OPXLLQIJSORQAM-UHFFFAOYSA-N,P02CA01,12,CHEMBL1802815,CHEMBL1802815,network_candidate,0.19148936170212766,structurally_distant_under_this_fingerprint
CID100443379,CAS,443379,LZFZMUMEGBBDTC-SNPRPXQTSA-N,,122,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.19117647058823528,structurally_distant_under_this_fingerprint
CID100002019,actinomycin,2019,RJURFGZVJUQBHK-UHFFFAOYSA-N,L01DA01,69,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.1907514450867052,structurally_distant_under_this_fingerprint
CID109869929,avanafil,9869929,WEAJZXNPAWBCOA-INIZCTEOSA-N,,108,CHEMBL1802814,CHEMBL1802814,network_candidate,0.19047619047619047,structurally_distant_under_this_fingerprint
CID100003251,ergotamine,3251,XCGSFFUVFURLIX-UHFFFAOYSA-N,N02CA02,21,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.19047619047619047,structurally_distant_under_this_fingerprint
CID100003333,felodipine,3333,RZTAMFZIAATZDJ-UHFFFAOYSA-N,C08CA02,98,CHEMBL1232461,MOLIBRESIB,network_candidate,0.19047619047619047,structurally_distant_under_this_fingerprint
CID100004168,metoclopramide,4168,TTWJBBZEZQICBI-UHFFFAOYSA-N,A03FA01,104,CHEMBL1232461,MOLIBRESIB,network_candidate,0.19047619047619047,structurally_distant_under_this_fingerprint
CID100003339,fenofibrate,3339,YMTINGFKWWXKFG-UHFFFAOYSA-N,C10AB05,192,CHEMBL1232461,MOLIBRESIB,network_candidate,0.189873417721519,structurally_distant_under_this_fingerprint
CID100004235,moclobemide,4235,YHXISWVBGDMDLQ-UHFFFAOYSA-N,N06AG02,84,CHEMBL1232461,MOLIBRESIB,network_candidate,0.189873417721519,structurally_distant_under_this_fingerprint
CID100166548,Anidulafungin,166548,JHVAMHSQVVQIOT-MFAJLEFUSA-N,J02AX06,120,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.1896551724137931,structurally_distant_under_this_fingerprint
CID100002159,amisulpride,2159,NTJOBXMMWNYJFB-UHFFFAOYSA-N,N05AL05,80,CHEMBL1802814,CHEMBL1802814,network_candidate,0.1891891891891892,structurally_distant_under_this_fingerprint
CID110182969,apixaban,10182969,QNZCBYKSOIHPEH-UHFFFAOYSA-N,,98,CHEMBL1802814,CHEMBL1802814,network_candidate,0.1891891891891892,structurally_distant_under_this_fingerprint
CID105277135,elvitegravir,5277135,JUZYLCPPVHEVSV-LJQANCHMSA-N,,29,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1891891891891892,structurally_distant_under_this_fingerprint
CID100219078,lacosamide,219078,VPPJLAIAVCUEMN-GFCCVEGCSA-N,N03AX18,100,CHEMBL1802815,CHEMBL1802815,network_candidate,0.18888888888888888,structurally_distant_under_this_fingerprint
CID100004485,nifedipine,4485,HYIMSNHJOBLJNT-UHFFFAOYSA-N,C08CA05,240,CHEMBL1802973,CHEMBL1802973,network_candidate,0.18888888888888888,structurally_distant_under_this_fingerprint
CID154677977,A77,54677977,UTNUDOFZCWSZMS-UHFFFAOYSA-N,,99,CHEMBL3752910,CHEMBL3752910,network_candidate,0.18823529411764706,structurally_distant_under_this_fingerprint
CID100003916,levomepromazine,3916,VRQVVMDWGGWHTJ-UHFFFAOYSA-N,N05AA02,17,CHEMBL1232461,MOLIBRESIB,network_candidate,0.18823529411764706,structurally_distant_under_this_fingerprint
CID100002092,alfuzosin,2092,WNMJYKCGWZFFKR-UHFFFAOYSA-N,G04CA01,94,CHEMBL1802814,CHEMBL1802814,network_candidate,0.18803418803418803,structurally_distant_under_this_fingerprint
CID100123623,Cancidas,123623,OGUJBRYAAJYXQP-CPYUAZPCSA-N,J02AX04,246,REF_TERNATIN_4,Ternatin-4,reference_ligand,0.1875,structurally_distant_under_this_fingerprint
CID100002345,benzyl,2345,SESFRYSPDFLNCH-UHFFFAOYSA-N,P03AX01,4,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1875,structurally_distant_under_this_fingerprint
CID100005401,terazosin,5401,VCKUSRYTPJJLNI-UHFFFAOYSA-N,G04CA03,110,CHEMBL1802814,CHEMBL1802814,network_candidate,0.1875,structurally_distant_under_this_fingerprint
CID111707110,trametinib,11707110,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,,134,CHEMBL3752910,CHEMBL3752910,network_candidate,0.1875,structurally_distant_under_this_fingerprint
CID116129704,Bivalirudin,16129704,OIRCOABEOLEUMC-GEJPAHFPSA-N,B01AE06,108,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.18716577540106952,structurally_distant_under_this_fingerprint
CID100003823,ketoconazole,3823,XMAYWYJOQHXEEK-UHFFFAOYSA-N,D01AC08; G01AF11; J02AB02,116,CHEMBL1232461,MOLIBRESIB,network_candidate,0.18691588785046728,structurally_distant_under_this_fingerprint
CID100003373,flumazenil,3373,OFBIFZUFASYYRE-UHFFFAOYSA-N,V03AB25,95,CHEMBL1232461,MOLIBRESIB,network_candidate,0.18681318681318682,structurally_distant_under_this_fingerprint
