stitch_flat_id,drug_name,sider_version,atc_codes
CID100002269,azithromycin,4.1,J01FA10; S01AA26
CID100002274,aztreonam,4.1,J01DF01
CID100002284,baclofen,4.1,M03BX01
CID105362070,balsalazide,4.1,A07EC04
CID100024414,barium,4.1,
CID100083513,barium,4.1,
CID100154256,bazedoxifene,4.1,G03XC02
CID100002307,beclomethasone,4.1,A07EA07; D07AC15; R01AD01; R03BA01
CID100002308,beclomethasone,4.1,
CID100062965,beclomethasone,4.1,
CID106918638,belinostat,4.1,
CID100002311,benazepril,4.1,C09AA07
CID100063001,benazeprilat,4.1,
CID100065628,bendamustine,4.1,L01AA09
CID100002315,bendrofluazide,4.1,C03AA01
CID100015232,benzathine,4.1,J01CE08
CID100002337,benzocaine,4.1,C05AD03; D04AB04; N01BA05; R02AD01
CID100007699,benzonatate,4.1,R05DB01
CID100007187,benzoyl,4.1,D10AE01
CID100002341,benzphetamine,4.1,
CID100002344,benztropine,4.1,N04AC01
CID100012555,benzydamine,4.1,A01AD02; G02CC03; M01AX07; M02AA05
CID100000244,benzyl,4.1,
CID100002345,benzyl,4.1,P03AX01
CID100119212,benzylpenicilloyl,4.1,
CID100002350,bepotastine,4.1,
CID100002351,bepridil,4.1,C08EA02
CID110178705,besifloxacin,4.1,
CID100002366,betahistine,4.1,N07CA01
CID100000247,betaine,4.1,A09AB02; A16AA06
CID100016533,betamethasone,4.1,
CID100021800,betamethasone,4.1,
CID100002369,betaxolol,4.1,C07AB05; S01ED02
CID100002370,bethanechol,4.1,N07AB02
CID100082146,bexarotene,4.1,L01XX25
CID100039042,bezafibrate,4.1,C10AB02
CID100002375,bicalutamide,4.1,L02BB03
CID100000767,bicarbonate,4.1,
CID100005939,biguanide,4.1,
CID100000303,bile,4.1,A05AA03
CID100127909,bimatoprost,4.1,S01EE03
CID100002391,bisacodyl,4.1,A06AB02; A06AG02
CID100002405,bisoprolol,4.1,C07AB07
CID100072466,bleomycin,4.1,L01DC01
CID110324367,boceprevir,4.1,
CID100093860,bortezomib,4.1,L01XX32
CID100104865,bosentan,4.1,C02KX01
CID105328940,bosutinib,4.1,
CID100002431,bretylium,4.1,C01BD02
CID100002435,brimonidine,4.1,S01EA05
CID100068844,brinzolamide,4.1,S01EC04
CID100002441,bromazepam,4.1,N05BA08
CID100006451,bromcresol,4.1,
CID100060726,bromfenac,4.1,S01BC11
CID100002442,bromhexine,4.1,R05CB02
CID100002443,bromocriptine,4.1,G02CB01; N04BC01
CID100002462,budesonide,4.1,A07EA06; D07AC09; R01AD05; R03BA02
CID100002471,bumetanide,4.1,C03CA02
CID100002474,bupivacaine,4.1,N01BB01; N01BB10
CID100002476,buprenorphine,4.1,N02AE01; N07BC01
CID100000444,bupropion,4.1,N06AX12
CID100002477,buspirone,4.1,N05BE01
CID100002478,busulfan,4.1,L01AB01
CID100002479,butabarbital,4.1,
CID100002484,butenafine,4.1,D01AE23
CID100047471,butoconazole,4.1,G01AF15
CID100002487,butorphanol,4.1,N02AF01
CID109811221,cabazitaxel,4.1,
CID100002512,cabergoline,4.1,G02CB03; N04BC06
CID125102847,cabozantinib,4.1,
CID100002519,caffeine,4.1,N06BC01
CID100002522,calcipotriol,4.1,D05AX02
CID100000271,calcium,4.1,A07XA03; A12AA20
CID100006116,calcium,4.1,
CID124812758,canagliflozin,4.1,
CID100002540,candesartan,4.1,
CID100002541,candesartan,4.1,C09CA06
CID100060953,capecitabine,4.1,L01BC06
CID100002547,capreomycin,4.1,J04AB30
CID100002548,capsaicin,4.1,M02AB01; M02AB02; N01BX04
CID100002550,captopril,4.1,C09AA01
CID100002551,carbachol,4.1,N07AB01; S01EB02
CID100002554,carbamazepine,4.1,N03AF01
CID100002559,carbenicillin,4.1,J01CA03
CID100002563,carbidopa,4.1,
CID100031072,carbimazole,4.1,H03BB01
CID100002564,carbinoxamine,4.1,R06AA08
CID100038904,carboplatin,4.1,L01XA02
CID100441332,carboprost,4.1,G02AD04
CID100002576,carisoprodol,4.1,M03BA02
CID100000085,carnitine,4.1,A16AA01
CID100002583,carteolol,4.1,C07AA15; S01ED05
CID100002585,carvedilol,4.1,C07AG02
CID100002609,cefaclor,4.1,J01DC04
CID100002610,cefadroxil,4.1,J01DB05
CID100002617,cefazolin,4.1,J01DB04
CID106398970,cefdinir,4.1,J01DD15
CID100444006,cefditoren,4.1,J01DD16
CID100002622,cefepime,4.1,J01DE01
CID100002675,cefixime,4.1,J01DD08
CID100002631,cefotaxime,4.1,J01DD01
CID100050614,cefotetan,4.1,J01DC05
CID100002637,cefoxitin,4.1,J01DC01
CID100054547,cefpodoxime,4.1,J01DD13
CID100002646,cefprozil,4.1,J01DC10
CID109810131,ceftaroline,4.1,
CID100002650,ceftazidime,4.1,J01DD02
