stitch_flat_id,stitch_stereo_id,label_umls_id,meddra_concept_type,meddra_umls_id,side_effect_name,sider_version,candidate_name
CID100005291,CID000005291,C0009763,PT,C0009763,Conjunctivitis,4.1,imatinib
CID100005291,CID000005291,C0009782,PT,C0009782,Connective tissue disorder,4.1,imatinib
CID100005291,CID000005291,C0009806,PT,C0009806,Constipation,4.1,imatinib
CID100005291,CID000005291,C0009938,PT,C0009938,Contusion,4.1,imatinib
CID100005291,CID000005291,C0036572,PT,C0036572,Convulsion,4.1,imatinib
CID100005291,CID000005291,C0010200,PT,C0010200,Cough,4.1,imatinib
CID100005291,CID000005291,C0010709,PT,C0010709,Cyst,4.1,imatinib
CID100005291,CID000005291,C1384666,PT,C0011053,Deafness,4.1,imatinib
CID100005291,CID000005291,C0003123,PT,C0232462,Decreased appetite,4.1,imatinib
CID100005291,CID000005291,C0011175,PT,C0011175,Dehydration,4.1,imatinib
CID100005291,CID000005291,C0011570,PT,C0011570,Depression,4.1,imatinib
CID100005291,CID000005291,C0011603,PT,C0011603,Dermatitis,4.1,imatinib
CID100005291,CID000005291,C0235818,PT,C0085932,Dermatitis bullous,4.1,imatinib
CID100005291,CID000005291,C0011606,PT,C0011606,Dermatitis exfoliative,4.1,imatinib
CID100005291,CID000005291,C0011991,PT,C0011991,Diarrhoea,4.1,imatinib
CID100005291,CID000005291,C0231218,PT,C0234215,Discomfort,4.1,imatinib
CID100005291,CID000005291,C0011124,PT,C0855242,Disturbance in sexual arousal,4.1,imatinib
CID100005291,CID000005291,C0012813,PT,C0012813,Diverticulitis,4.1,imatinib
CID100005291,CID000005291,C0012833,PT,C0012833,Dizziness,4.1,imatinib
CID100005291,CID000005291,C0011609,PT,C0011609,Drug eruption,4.1,imatinib
CID100005291,CID000005291,C0687133,PT,C0687133,Drug interaction,4.1,imatinib
CID100005291,CID000005291,C0314719,PT,C0314719,Dry eye,4.1,imatinib
CID100005291,CID000005291,C0043352,PT,C0043352,Dry mouth,4.1,imatinib
CID100005291,CID000005291,C0151908,PT,C0151908,Dry skin,4.1,imatinib
CID100005291,CID000005291,C0013378,PT,C0013378,Dysgeusia,4.1,imatinib
CID100005291,CID000005291,C0013395,PT,C0013395,Dyspepsia,4.1,imatinib
CID100005291,CID000005291,C0011168,PT,C0011168,Dysphagia,4.1,imatinib
CID100005291,CID000005291,C0013404,PT,C0013404,Dyspnoea,4.1,imatinib
CID100005291,CID000005291,C0231807,PT,C0231807,Dyspnoea exertional,4.1,imatinib
CID100005291,CID000005291,C0013491,PT,C0013491,Ecchymosis,4.1,imatinib
CID100005291,CID000005291,C0013595,PT,C0013595,Eczema,4.1,imatinib
CID100005291,CID000005291,C0013922,PT,C0013922,Embolism,4.1,imatinib
CID100005291,CID000005291,C0014457,PT,C0014457,Eosinophilia,4.1,imatinib
CID100005291,CID000005291,C0014591,PT,C0014591,Epistaxis,4.1,imatinib
CID100005291,CID000005291,C0242350,PT,C0242350,Erectile dysfunction,4.1,imatinib
CID100005291,CID000005291,C0014724,PT,C0014724,Eructation,4.1,imatinib
CID100005291,CID000005291,C0041834,PT,C0041834,Erythema,4.1,imatinib
CID100005291,CID000005291,C0014742,PT,C0014742,Erythema multiforme,4.1,imatinib
CID100005291,CID000005291,C0015397,PT,C0015397,Eye disorder,4.1,imatinib
CID100005291,CID000005291,C0235266,PT,C0235266,Eye irritation,4.1,imatinib
CID100005291,CID000005291,C0743680,PT,C0743680,Eye oedema,4.1,imatinib
