stitch_flat_id,stitch_stereo_id,label_umls_id,placebo,frequency_description,frequency_lower,frequency_upper,meddra_concept_type,meddra_umls_id,side_effect_name,is_placebo,sider_version
CID100000085,CID000010917,C0546817,,5%,0.05,0.05,PT,C0546817,Fluid overload,FALSE,4.1
CID100000085,CID000010917,C0546817,placebo,17%,0.17,0.17,PT,C0546817,Fluid overload,TRUE,4.1
CID100000085,CID000010917,C0152020,placebo,5%,0.05,0.05,PT,C0152020,Gastric atony,TRUE,4.1
CID100000085,CID000010917,C0017178,,2%,0.02,0.02,PT,C0017178,Gastrointestinal disorder,FALSE,4.1
CID100000085,CID000010917,C0017178,,3%,0.03,0.03,PT,C0017178,Gastrointestinal disorder,FALSE,4.1
CID100000085,CID000010917,C0017178,,6%,0.06,0.06,PT,C0017178,Gastrointestinal disorder,FALSE,4.1
CID100000085,CID000010917,C0017178,placebo,2%,0.02,0.02,PT,C0017178,Gastrointestinal disorder,TRUE,4.1
CID100000085,CID000010917,C0000737,,21%,0.21,0.21,PT,C0687713,Gastrointestinal pain,FALSE,4.1
CID100000085,CID000010917,C0000737,,5%,0.05,0.05,PT,C0687713,Gastrointestinal pain,FALSE,4.1
CID100000085,CID000010917,C0000737,,6%,0.06,0.06,PT,C0687713,Gastrointestinal pain,FALSE,4.1
CID100000085,CID000010917,C0000737,,9%,0.09,0.09,PT,C0687713,Gastrointestinal pain,FALSE,4.1
CID100000085,CID000010917,C0000737,placebo,17%,0.17,0.17,PT,C0687713,Gastrointestinal pain,TRUE,4.1
CID100000085,CID000010917,C0019080,,2%,0.02,0.02,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000085,CID000010917,C0019080,,3%,0.03,0.03,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000085,CID000010917,C0019080,,4%,0.04,0.04,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000085,CID000010917,C0019080,,9%,0.09,0.09,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000085,CID000010917,C0019080,placebo,6%,0.06,0.06,PT,C0518015,Haemoglobin,TRUE,4.1
CID100000085,CID000010917,C0019080,,2%,0.02,0.02,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000085,CID000010917,C0019080,,3%,0.03,0.03,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000085,CID000010917,C0019080,,4%,0.04,0.04,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000085,CID000010917,C0019080,,9%,0.09,0.09,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000085,CID000010917,C0019080,placebo,6%,0.06,0.06,PT,C0019080,Haemorrhage,TRUE,4.1
CID100000085,CID000010917,C0018681,,12%,0.12,0.12,PT,C0018681,Headache,FALSE,4.1
CID100000085,CID000010917,C0018681,,22%,0.22,0.22,PT,C0018681,Headache,FALSE,4.1
CID100000085,CID000010917,C0018681,,3%,0.03,0.03,PT,C0018681,Headache,FALSE,4.1
CID100000085,CID000010917,C0018681,,37%,0.37,0.37,PT,C0018681,Headache,FALSE,4.1
CID100000085,CID000010917,C0018681,placebo,16%,0.16,0.16,PT,C0018681,Headache,TRUE,4.1
CID100000085,CID000010917,C0020437,,15%,0.15,0.15,PT,C0020437,Hypercalcaemia,FALSE,4.1
CID100000085,CID000010917,C0020437,,6%,0.06,0.06,PT,C0020437,Hypercalcaemia,FALSE,4.1
CID100000085,CID000010917,C0020437,,8%,0.08,0.08,PT,C0020437,Hypercalcaemia,FALSE,4.1
CID100000085,CID000010917,C0020437,,9%,0.09,0.09,PT,C0020437,Hypercalcaemia,FALSE,4.1
CID100000085,CID000010917,C0020437,placebo,3%,0.03,0.03,PT,C0020437,Hypercalcaemia,TRUE,4.1
CID100000085,CID000010917,C0020461,,6%,0.06,0.06,PT,C0020461,Hyperkalaemia,FALSE,4.1
CID100000085,CID000010917,C0020461,placebo,6%,0.06,0.06,PT,C0020461,Hyperkalaemia,TRUE,4.1
CID100000085,CID000010917,C0020517,,2%,0.02,0.02,PT,C0020517,Hypersensitivity,FALSE,4.1
CID100000085,CID000010917,C0020517,,6%,0.06,0.06,PT,C0020517,Hypersensitivity,FALSE,4.1
CID100000085,CID000010917,C0020517,placebo,5%,0.05,0.05,PT,C0020517,Hypersensitivity,TRUE,4.1
CID100000085,CID000010917,C0020538,,18%,0.18,0.18,PT,C0020538,Hypertension,FALSE,4.1
CID100000085,CID000010917,C0020538,,20%,0.2,0.2,PT,C0020538,Hypertension,FALSE,4.1
CID100000085,CID000010917,C0020538,,21%,0.21,0.21,PT,C0020538,Hypertension,FALSE,4.1
CID100000085,CID000010917,C0020538,placebo,14%,0.14,0.14,PT,C0020538,Hypertension,TRUE,4.1
CID100000085,CID000010917,C0026826,,1%,0.01,0.01,PT,C0026826,Hypertonia,FALSE,4.1
CID100000085,CID000010917,C0026826,,3%,0.03,0.03,PT,C0026826,Hypertonia,FALSE,4.1
CID100000085,CID000010917,C0026826,placebo,5%,0.05,0.05,PT,C0026826,Hypertonia,TRUE,4.1
CID100000085,CID000010917,C0020649,,14%,0.14,0.14,PT,C0020649,Hypotension,FALSE,4.1
CID100000085,CID000010917,C0020649,,15%,0.15,0.15,PT,C0020649,Hypotension,FALSE,4.1
CID100000085,CID000010917,C0020649,,19%,0.19,0.19,PT,C0020649,Hypotension,FALSE,4.1
CID100000085,CID000010917,C0020649,,3%,0.03,0.03,PT,C0020649,Hypotension,FALSE,4.1
CID100000085,CID000010917,C0020649,placebo,19%,0.19,0.19,PT,C0020649,Hypotension,TRUE,4.1
CID100000085,CID000010917,C0152020,placebo,5%,0.05,0.05,PT,C0522063,Impaired gastric emptying,TRUE,4.1
CID100000085,CID000010917,C0009450,,10%,0.1,0.1,PT,C0009450,Infection,FALSE,4.1
CID100000085,CID000010917,C0009450,,15%,0.15,0.15,PT,C0009450,Infection,FALSE,4.1
CID100000085,CID000010917,C0009450,,24%,0.24,0.24,PT,C0009450,Infection,FALSE,4.1
CID100000085,CID000010917,C0009450,placebo,17%,0.17,0.17,PT,C0009450,Infection,TRUE,4.1
CID100000085,CID000010917,C0021400,,15%,0.15,0.15,PT,C0021400,Influenza,FALSE,4.1
CID100000085,CID000010917,C0021400,,25%,0.25,0.25,PT,C0021400,Influenza,FALSE,4.1
CID100000085,CID000010917,C0021400,,27%,0.27,0.27,PT,C0021400,Influenza,FALSE,4.1
CID100000085,CID000010917,C0021400,,29%,0.29,0.29,PT,C0021400,Influenza,FALSE,4.1
CID100000085,CID000010917,C0021400,placebo,40%,0.4,0.4,PT,C0021400,Influenza,TRUE,4.1
CID100000085,CID000010917,C0151735,,27%,0.27,0.27,PT,C0151735,Injection site reaction,FALSE,4.1
CID100000085,CID000010917,C0151735,,33%,0.33,0.33,PT,C0151735,Injection site reaction,FALSE,4.1
CID100000085,CID000010917,C0151735,,38%,0.38,0.38,PT,C0151735,Injection site reaction,FALSE,4.1
CID100000085,CID000010917,C0151735,placebo,59%,0.59,0.59,PT,C0151735,Injection site reaction,TRUE,4.1
CID100000085,CID000010917,C0151736,,10%,0.1,0.1,PT,C3263723,Injury,FALSE,4.1
CID100000085,CID000010917,C0151736,,12%,0.12,0.12,PT,C3263723,Injury,FALSE,4.1
CID100000085,CID000010917,C0151736,,8%,0.08,0.08,PT,C3263723,Injury,FALSE,4.1
CID100000085,CID000010917,C0151736,placebo,10%,0.1,0.1,PT,C3263723,Injury,TRUE,4.1
CID100000085,CID000010917,C0917801,,3%,0.03,0.03,PT,C0917801,Insomnia,FALSE,4.1
CID100000085,CID000010917,C0917801,,4%,0.04,0.04,PT,C0917801,Insomnia,FALSE,4.1
CID100000085,CID000010917,C0917801,,6%,0.06,0.06,PT,C0917801,Insomnia,FALSE,4.1
CID100000085,CID000010917,C0917801,placebo,6%,0.06,0.06,PT,C0917801,Insomnia,TRUE,4.1
CID100000085,CID000010917,C0025222,,2%,0.02,0.02,PT,C0025222,Melaena,FALSE,4.1
CID100000085,CID000010917,C0025222,,6%,0.06,0.06,PT,C0025222,Melaena,FALSE,4.1
CID100000085,CID000010917,C0025222,placebo,3%,0.03,0.03,PT,C0025222,Melaena,TRUE,4.1
CID100000085,CID000010917,C0023218,,4%,0.04,0.04,PT,C0037763,Muscle spasms,FALSE,4.1
CID100000085,CID000010917,C0023218,,8%,0.08,0.08,PT,C0037763,Muscle spasms,FALSE,4.1
CID100000085,CID000010917,C0023218,placebo,13%,0.13,0.13,PT,C0037763,Muscle spasms,TRUE,4.1
CID100000085,CID000010917,C0231528,placebo,6%,0.06,0.06,PT,C0948594,Musculoskeletal discomfort,TRUE,4.1
CID100000085,CID000010917,C0231528,placebo,6%,0.06,0.06,PT,C0231528,Myalgia,TRUE,4.1
CID100000085,CID000010917,C0027497,,12%,0.12,0.12,PT,C0027497,Nausea,FALSE,4.1
CID100000085,CID000010917,C0027497,,5%,0.05,0.05,PT,C0027497,Nausea,FALSE,4.1
CID100000085,CID000010917,C0027497,,8%,0.08,0.08,PT,C0027497,Nausea,FALSE,4.1
CID100000085,CID000010917,C0027497,,9%,0.09,0.09,PT,C0027497,Nausea,FALSE,4.1
CID100000085,CID000010917,C0027497,placebo,10%,0.1,0.1,PT,C0027497,Nausea,TRUE,4.1
CID100000085,CID000010917,C0085649,,3%,0.03,0.03,PT,C0085649,Oedema peripheral,FALSE,4.1
CID100000085,CID000010917,C0085649,,5%,0.05,0.05,PT,C0085649,Oedema peripheral,FALSE,4.1
CID100000085,CID000010917,C0085649,,6%,0.06,0.06,PT,C0085649,Oedema peripheral,FALSE,4.1
CID100000085,CID000010917,C0085649,placebo,3%,0.03,0.03,PT,C0085649,Oedema peripheral,TRUE,4.1
CID100000085,CID000010917,C0030193,,21%,0.21,0.21,PT,C0030193,Pain,FALSE,4.1
CID100000085,CID000010917,C0030193,,30%,0.3,0.3,PT,C0030193,Pain,FALSE,4.1
CID100000085,CID000010917,C0030193,,32%,0.32,0.32,PT,C0030193,Pain,FALSE,4.1
CID100000085,CID000010917,C0030193,,35%,0.35,0.35,PT,C0030193,Pain,FALSE,4.1
CID100000085,CID000010917,C0030193,placebo,49%,0.49,0.49,PT,C0030193,Pain,TRUE,4.1
CID100000085,CID000010917,C0030252,,3%,0.03,0.03,PT,C0030252,Palpitations,FALSE,4.1
