drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed,n_indications,inds_score,on_score,se_score_undefined,composite_score_variantA
CHEMBL856,PRIMIDONE,Small molecule,APPROVAL,1,SCN1A,GABA-A receptor; anion channel positive allosteric modulator; Sodium channel alpha subunit blocker,26,TRUE,FALSE,3,0.024,0.32051282051282054,0,0.1763714082579457
CHEMBL83,TAMOXIFEN,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha modulator,1,TRUE,FALSE,37,0.296,0,0,0.1737089201877934
CHEMBL3989949,CENOBAMATE,Small molecule,APPROVAL,1,SCN1A,GABA-A receptor; anion channel positive allosteric modulator; Sodium channel alpha subunit inhibitor,26,TRUE,FALSE,4,0.032,0.32051282051282054,0,0.17255462705995717
CHEMBL1201649,"ESTROGENS, CONJUGATED",Unknown,APPROVAL,1,ESR1,Estrogen receptor agonist,2,TRUE,FALSE,38,0.304,0.01282051282051282,0,0.17110903153304705
CHEMBL1200826,LITHIUM CARBONATE,Small molecule,APPROVAL,1,GSK3B,Glycogen synthase kinase-3 inhibitor; Inositol-1(or 4)-monophosphatase 1 inhibitor,3,TRUE,FALSE,39,0.312,0.02564102564102564,0,0.1697640004682409
CHEMBL574737,UCN-01,Small molecule,PHASE_2,2,CDK2;PRKCD,3-phosphoinositide dependent protein kinase-1 inhibitor; Cyclin-dependent kinase 2 inhibitor; Cyclin-dependent kinase 4 inhibitor; Cyclin-dependent kinase 6 inhibitor; Protein kinase C (PKC) inhibitor; Serine/threonine-protein kinase Chk1 inhibitor,16,TRUE,FALSE,43,0.344,0.19230769230769232,0,0.16932163244503973
CHEMBL109480,TANESPIMYCIN,Small molecule,PHASE_3,1,HSP90AB1,Heat shock protein HSP90 inhibitor,2,TRUE,FALSE,37,0.296,0.01282051282051282,0,0.16566688595777646
CHEMBL4297723,CEMIPLIMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 inhibitor,1,TRUE,FALSE,33,0.264,0,0,0.15207373271889402
CHEMBL691,ETHINYL ESTRADIOL,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha agonist,1,TRUE,FALSE,32,0.256,0,0,0.14678899082568805
CHEMBL1751,DIGOXIN,Small molecule,APPROVAL,2,ATP1A1;ATP1A3,Sodium/potassium-transporting ATPase inhibitor,8,TRUE,FALSE,38,0.304,0.08974358974358974,0,0.14624073751876426
CHEMBL1946170,REGORAFENIB,Small molecule,APPROVAL,1,RAF1,Discoidin domain-containing receptor 2 inhibitor; Ephrin type-A receptor 2 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Fibroblast growth factor receptor 2 inhibitor; MAP kinase p38 beta inhibitor; Nerve growth factor receptor Trk-A inhibitor; Platelet-derived growth factor receptor inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Serine/threonine-protein kinase RAF inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ABL inhibitor; Tyrosine-protein kinase FRK inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor,18,TRUE,FALSE,32,0.256,0.21794871794871795,0,0.13539715854794812
CHEMBL1230607,PHA-793887,Small molecule,PHASE_1,1,CDK2,Cyclin-dependent kinase inhibitor,20,TRUE,FALSE,1,0.008,0.24358974358974358,0,0.13385016651302065
CHEMBL488436,AZD-5438,Small molecule,PHASE_1,1,CDK2,Cyclin-dependent kinase inhibitor,20,TRUE,FALSE,1,0.008,0.24358974358974358,0,0.13385016651302065
CHEMBL43452,POMALIDOMIDE,Small molecule,APPROVAL,2,CUL4A;DDB1,CRL4(CRBN) E3 ubiquitin ligase inhibitor,4,TRUE,FALSE,33,0.264,0.038461538461538464,0,0.13335004224232141
CHEMBL1358,FULVESTRANT,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha antagonist; Estrogen receptor degrader,1,TRUE,FALSE,28,0.224,0,0,0.12612612612612614
CHEMBL4442620,RONICICLIB,Small molecule,PHASE_2,1,CDK2,Cyclin-dependent kinase inhibitor,20,TRUE,FALSE,3,0.024,0.24358974358974358,0,0.12605945106076413
CHEMBL1200395,ORPHENADRINE CITRATE,Small molecule,APPROVAL,1,SCN1A,Glutamate [NMDA] receptor antagonist; Histamine H1 receptor antagonist; Norepinephrine transporter inhibitor; Sodium channel alpha subunit blocker,19,TRUE,FALSE,1,0.008,0.23076923076923078,0,0.12568581135969636
CHEMBL1201023,ORPHENADRINE HYDROCHLORIDE,Small molecule,APPROVAL,1,SCN1A,Glutamate [NMDA] receptor antagonist; Histamine H1 receptor antagonist; Norepinephrine transporter inhibitor; Sodium channel alpha subunit blocker,19,TRUE,FALSE,1,0.008,0.23076923076923078,0,0.12568581135969636
CHEMBL900,ORPHENADRINE,Small molecule,APPROVAL,1,SCN1A,Glutamate [NMDA] receptor antagonist; Histamine H1 receptor antagonist; Norepinephrine transporter inhibitor; Sodium channel alpha subunit blocker,19,TRUE,FALSE,1,0.008,0.23076923076923078,0,0.12568581135969636
CHEMBL2107771,RALFINAMIDE,Small molecule,PHASE_3,1,SCN1A,Glutamate [NMDA] receptor antagonist; Monoamine oxidase B inhibitor; Sodium channel alpha subunit blocker; Voltage-gated N-type calcium channel alpha-1B subunit blocker,19,TRUE,FALSE,2,0.016,0.23076923076923078,0,0.12160688636076111
CHEMBL1201827,PANITUMUMAB,Antibody,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,TRUE,FALSE,27,0.216,0,0,0.12107623318385649
CHEMBL445813,AT-7519,Small molecule,PHASE_2,1,CDK2,Cyclin-dependent kinase inhibitor,20,TRUE,FALSE,5,0.04,0.24358974358974358,0,0.12036887445188055
CHEMBL554,LAPATINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,2,TRUE,FALSE,28,0.224,0.01282051282051282,0,0.1189234279437095
CHEMBL2108359,NIMOTUZUMAB,Antibody,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,TRUE,FALSE,26,0.208,0,0,0.11607142857142858
CHEMBL6069183,CEP-2563,Small molecule,PHASE_1,1,PRKCD,Neurotrophic tyrosine kinase receptor inhibitor; Platelet-derived growth factor receptor beta inhibitor; Protein kinase C (PKC) inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor,17,TRUE,FALSE,0,0,0.20512820512820512,0,0.11428571428571427
CHEMBL4594456,CADONILIMAB,Antibody,PHASE_3,1,PDCD1,Cytotoxic T-lymphocyte protein 4 inhibitor; Programmed cell death protein 1 inhibitor,2,TRUE,FALSE,27,0.216,0.01282051282051282,0,0.11396789425948245
CHEMBL4298124,DOSTARLIMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 antagonist,1,TRUE,FALSE,25,0.2,0,0,0.11111111111111113
CHEMBL494089,GSK-690693,Small molecule,PHASE_1,1,PRKCD,Protein kinase C (PKC) inhibitor; Serine/threonine-protein kinase AKT inhibitor; cAMP-dependent protein kinase (PKA) inhibitor,17,TRUE,FALSE,1,0.008,0.20512820512820512,0,0.10971089184485594
CHEMBL1077896,ROPIVACAINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,29,0.232,0.11538461538461539,0,0.10696976887207346
CHEMBL741,LAMOTRIGINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,29,0.232,0.11538461538461539,0,0.10696976887207346
CHEMBL4594515,LOSATUXIZUMAB VEDOTIN,Antibody drug conjugate,PHASE_1,1,EGFR,Epidermal growth factor receptor binding agent; Tubulin inhibitor,16,TRUE,FALSE,0,0,0.19230769230769232,0,0.10638297872340426
CHEMBL2103879,GANETESPIB,Small molecule,PHASE_3,1,HSP90AB1,Heat shock protein HSP90 inhibitor,2,TRUE,FALSE,25,0.2,0.01282051282051282,0,0.10419402705053643
CHEMBL1201729,DRONEDARONE HYDROCHLORIDE,Small molecule,APPROVAL,1,SCN1A,Inward rectifier potassium channel 2 blocker; Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 blocker; Sodium channel alpha subunit blocker; Voltage-gated L-type calcium channel blocker,16,TRUE,FALSE,1,0.008,0.19230769230769232,0,0.1018960215343007
CHEMBL4297571,PENPULIMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 inhibitor,1,TRUE,FALSE,23,0.184,0,0,0.1013215859030837
CHEMBL1173655,AFATINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,3,TRUE,FALSE,25,0.2,0.02564102564102564,0,0.09901370564877676
CHEMBL184412,DRONEDARONE,Small molecule,APPROVAL,1,SCN1A,Inward rectifier potassium channel 2 blocker; Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 blocker; Sodium channel alpha subunit blocker; Voltage-gated L-type calcium channel blocker,16,TRUE,FALSE,4,0.032,0.19230769230769232,0,0.09256064997040621
CHEMBL3707277,DEPATUXIZUMAB MAFODOTIN,Antibody drug conjugate,PHASE_3,1,EGFR,Epidermal growth factor receptor erbB1 binding agent; Tubulin inhibitor,16,TRUE,FALSE,4,0.032,0.19230769230769232,0,0.09256064997040621
CHEMBL744,RILUZOLE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,24,0.192,0.11538461538461539,0,0.08887416598879284
