drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed
CHEMBL1018,DIENESTROL,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha agonist,1,True,False
CHEMBL4475463,AMCENESTRANT,Small molecule,PHASE_3,1,ESR1,Estrogen receptor alpha degrader,1,True,False
CHEMBL4298191,SASANLIMAB,Antibody,PHASE_3,1,PDCD1,Programmed cell death protein 1 antagonist,1,True,False
CHEMBL58323,LACOSAMIDE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL6069183,CEP-2563,Small molecule,PHASE_1,1,PRKCD,Neurotrophic tyrosine kinase receptor inhibitor; Platelet-derived growth factor receptor beta inhibitor; Protein kinase C (PKC) inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor,17,True,False
CHEMBL6068478,LAZERTINIB MESYLATE,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL6068423,ESTETROL,Small molecule,APPROVAL,1,ESR1,Estrogen receptor agonist,2,True,False
CHEMBL6067998,LASOFOXIFENE TARTRATE,Small molecule,APPROVAL,1,ESR1,Estrogen receptor modulator,2,True,False
CHEMBL6067986,AV-412,Small molecule,PHASE_1,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,2,True,False
CHEMBL605,PROCAINAMIDE HYDROCHLORIDE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL601719,CRIZOTINIB,Small molecule,APPROVAL,1,NPM1,ALK tyrosine kinase receptor inhibitor; EML4-ALK inhibitor; Hepatocyte growth factor receptor inhibitor; Macrophage-stimulating protein receptor inhibitor; NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor; Proto-oncogene tyrosine-protein kinase ROS inhibitor,6,True,False
CHEMBL598797,CUDC-101,Small molecule,PHASE_1,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Histone deacetylase inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,13,True,False
