drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed
CHEMBL384304,RG-547,Small molecule,PHASE_1,1,CDK2,Cyclin-dependent kinase 1 inhibitor; Cyclin-dependent kinase 2 inhibitor; Cyclin-dependent kinase 4 inhibitor,3,True,False
CHEMBL383824,ALVESPIMYCIN,Small molecule,PHASE_2,1,HSP90AB1,Heat shock protein HSP90 inhibitor,2,True,False
CHEMBL3647420,PYROTINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,2,True,False
CHEMBL3653256,SIREMADLIN,Small molecule,PHASE_2,1,MDM2,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,2,True,False
CHEMBL3663929,NAQUOTINIB,Small molecule,PHASE_3,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL3833342,NUSINERSEN SODIUM,Oligonucleotide,APPROVAL,1,SMN2,SMN2 pre-mRNA positive modulator,1,True,False
CHEMBL3833330,CINPANEMAB,Antibody,PHASE_2,1,SNCA,Alpha-synuclein inhibitor,1,True,False
CHEMBL3678076,EVENAMIDE,Small molecule,PHASE_3,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL3989794,DAGLUTRIL,Small molecule,PHASE_2,1,MME,Endothelin-converting enzyme 1 inhibitor; Neprilysin inhibitor,2,True,False
CHEMBL3786343,OLMUTINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL3786098,PF-06459988,Small molecule,PHASE_2,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL377559,RETASPIMYCIN HYDROCHLORIDE,Small molecule,PHASE_3,1,HSP90AB1,Heat shock protein HSP90 inhibitor,2,True,False
CHEMBL370805,COCAINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL3707294,DEPATUXIZUMAB,Antibody,PHASE_2,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL3707277,DEPATUXIZUMAB MAFODOTIN,Antibody drug conjugate,PHASE_3,1,EGFR,Epidermal growth factor receptor erbB1 binding agent; Tubulin inhibitor,16,True,False
CHEMBL3707243,GLYCOPYRRONIUM TOSYLATE,Small molecule,APPROVAL,1,CHRM4,Muscarinic acetylcholine receptor inhibitor,5,True,False
CHEMBL3707223,SOFPIRONIUM BROMIDE,Small molecule,APPROVAL,1,CHRM4,Muscarinic acetylcholine receptor inhibitor,5,True,False
CHEMBL3977543,BELVARAFENIB,Small molecule,PHASE_2,1,RAF1,RAF serine/threonine protein kinase inhibitor,3,True,False
CHEMBL3989921,NERATINIB MALEATE,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,3,True,False
CHEMBL4297363,UCB-1184197,Small molecule,PHASE_2,1,ITGA4,Integrin alpha-4 inhibitor,1,True,False
CHEMBL3991932,PEXMETINIB,Small molecule,PHASE_1_2,1,MAPK14,MAP kinase p38 alpha inhibitor; Tyrosine-protein kinase TIE-2 inhibitor,2,True,False
CHEMBL4297300,LB-100,Small molecule,PHASE_2,1,PPP2CA,"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform inhibitor; Serine/threonine protein phosphatase 2A, catalytic subunit, beta isoform inhibitor; Serine/threonine-protein phosphatase 5 inhibitor",3,True,False
CHEMBL4297258,FIRMONERTINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL359164,TROXACITABINE,Small molecule,PHASE_2,1,POLE2,DNA polymerase (alpha/delta/epsilon) inhibitor,11,True,False
CHEMBL428690,ALVOCIDIB,Small molecule,PHASE_3,1,CDK2,Cyclin-dependent kinase 1 inhibitor; Cyclin-dependent kinase 2 inhibitor; Cyclin-dependent kinase 4 inhibitor; Cyclin-dependent kinase 6 inhibitor; Cyclin-dependent kinase 7 inhibitor; Cyclin-dependent kinase 9 inhibitor,6,True,False
CHEMBL422872,AZD-4769,Small molecule,PHASE_1,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL411,DIETHYLSTILBESTROL,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha agonist,1,True,False
CHEMBL3623290,AZD-3759,Small molecule,PHASE_2_3,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL4091801,ALRIZOMADLIN,Small molecule,PHASE_2,1,MDM2,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,2,True,False
CHEMBL4298124,DOSTARLIMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 antagonist,1,True,False
CHEMBL363648,TAK-715,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False
CHEMBL3990042,GOSURANEMAB,Antibody,PHASE_2,1,MAPT,Microtubule-associated protein tau inhibitor,1,True,False
CHEMBL3989988,MODOTUXIMAB,Antibody,PHASE_2,1,EGFR,Epidermal growth factor receptor erbB1 antagonist; Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL3989987,PATISIRAN,Oligonucleotide,APPROVAL,1,TTR,Transthyretin mRNA RNAi inhibitor,1,True,False
CHEMBL3989978,PREXIGEBERSEN,Oligonucleotide,PHASE_2,1,GRB2,Growth factor receptor-bound protein 2 mRNA antisense inhibitor,1,True,False
CHEMBL362558,LY-2090314,Small molecule,PHASE_2,1,GSK3B,Glycogen synthase kinase-3 alpha inhibitor; Glycogen synthase kinase-3 beta inhibitor,2,True,False
CHEMBL363295,TERODILINE,Small molecule,APPROVAL,1,CHRM4,Muscarinic acetylcholine receptor antagonist; Voltage-gated calcium channel blocker,31,True,False
CHEMBL3989970,MAVELERTINIB,Small molecule,PHASE_1_2,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL3989949,CENOBAMATE,Small molecule,APPROVAL,1,SCN1A,GABA-A receptor; anion channel positive allosteric modulator; Sodium channel alpha subunit inhibitor,26,True,False
