drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed,n_indications,inds_score,on_score,se_score_undefined,composite_score_variantA,pathway_score_raw,pathway_score,composite_score_variantB,rank_variantA,rank_variantB,rank_shift_B_vs_A
CHEMBL256997,ATALUREN,Small molecule,APPROVAL,55,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL35;RPL35A;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPS11;RPS13;RPS14;RPS15A;RPS16;RPS18;RPS2;RPS20;RPS23;RPS27;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9,80S Ribosome modulator,78,True,False,6.0,0.048,0.9871794871794872,0.0,0.8932776237409423,2.4548232884886176,0.07165295671793226,0.7972385923223466,6,11,-5
CHEMBL79,LIDOCAINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False,111.0,0.888,0.1153846153846153,0.0,0.6654908088620943,2.09861228866811,0.0,0.6654908088620943,8,12,-4
CHEMBL325041,BORTEZOMIB,Small molecule,APPROVAL,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,True,False,92.0,0.736,0.4743589743589743,0.0,0.4635489004823317,2.09861228866811,0.0,0.4635489004823317,9,13,-4
CHEMBL468,THALIDOMIDE,Small molecule,APPROVAL,2,CUL4A;DDB1,CRL4(CRBN) E3 ubiquitin ligase inhibitor,4,True,False,82.0,0.656,0.0384615384615384,0.0,0.4511668338864297,2.09861228866811,0.0,0.45116683388642975,10,14,-4
CHEMBL2107762,NERISPIRDINE,Small molecule,PHASE_2,1,SCN1A,Sodium channel alpha subunit blocker; Voltage-gated potassium channel blocker,50,True,False,2.0,0.016,0.6282051282051282,0.0,0.4419609694373311,2.09861228866811,0.0,0.44196096943733115,11,15,-4
CHEMBL848,LENALIDOMIDE,Small molecule,APPROVAL,2,CUL4A;DDB1,CRL4(CRBN) E3 ubiquitin ligase inhibitor; CRL4(CRBN) E3 ubiquitin ligase modulator,4,True,False,80.0,0.64,0.0384615384615384,0.0,0.4346164721897608,2.09861228866811,0.0,0.4346164721897608,12,16,-4
CHEMBL888,GEMCITABINE,Small molecule,APPROVAL,1,POLE2,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,14,True,False,81.0,0.648,0.1666666666666666,0.0,0.3788610742930046,2.09861228866811,0.0,0.37886107429300453,13,17,-4
CHEMBL1096882,FLUDARABINE PHOSPHATE,Small molecule,APPROVAL,1,POLE2,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,14,True,False,76.0,0.608,0.1666666666666666,0.0,0.3450340232645357,2.09861228866811,0.0,0.34503402326453564,14,18,-4
CHEMBL1336,SORAFENIB,Small molecule,APPROVAL,1,RAF1,Platelet-derived growth factor receptor beta inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Serine/threonine-protein kinase RAF inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor,9,True,False,70.0,0.56,0.1025641025641025,0.0,0.3237927497730101,2.09861228866811,0.0,0.3237927497730101,15,19,-4
CHEMBL803,CYTARABINE,Small molecule,APPROVAL,1,POLE2,DNA polymerase (alpha/delta/epsilon) inhibitor,11,True,False,68.0,0.544,0.1282051282051282,0.0,0.3026755267180633,2.09861228866811,0.0,0.30267552671806336,16,20,-4
