molecule_chembl_id,n_indications
CHEMBL4594456,27
CHEMBL4594472,1
CHEMBL4594492,1
CHEMBL4594511,3
CHEMBL4594536,3
CHEMBL4594549,7
CHEMBL4594550,18
CHEMBL4594578,7
CHEMBL4594602,2
CHEMBL4594612,2
CHEMBL4650226,2
CHEMBL4650279,1
CHEMBL4650281,1
CHEMBL4650289,1
CHEMBL4650290,2
CHEMBL4650316,3
CHEMBL4650319,5
CHEMBL4650365,2
CHEMBL4650402,1
CHEMBL4650472,7
CHEMBL4650482,2
CHEMBL4650516,3
CHEMBL467399,5
CHEMBL46740,5
CHEMBL468,82
CHEMBL4761468,6
CHEMBL4802154,1
CHEMBL4802239,1
CHEMBL483465,11
CHEMBL488436,1
CHEMBL489,3
CHEMBL494089,1
CHEMBL506569,1
CHEMBL5095303,2
CHEMBL514201,2
CHEMBL517,3
CHEMBL529437,2
CHEMBL5314397,1
CHEMBL5314407,1
CHEMBL5314410,1
CHEMBL5314411,2
CHEMBL5315122,23
CHEMBL545315,3
CHEMBL553,53
CHEMBL554,28
CHEMBL558,10
CHEMBL564829,2
CHEMBL565612,7
CHEMBL569,2
CHEMBL573352,2
CHEMBL574737,43
CHEMBL58323,21
CHEMBL587723,3
CHEMBL598797,6
CHEMBL601719,24
CHEMBL605,3
CHEMBL6067986,1
CHEMBL6067998,2
CHEMBL6068423,7
CHEMBL6068478,2
CHEMBL607707,6
CHEMBL608533,10
CHEMBL631,6
CHEMBL640,6
CHEMBL691,32
CHEMBL698,12
CHEMBL741,29
CHEMBL744,24
CHEMBL750,18
CHEMBL786,19
CHEMBL79,111
CHEMBL803,68
CHEMBL81,13
CHEMBL83,37
CHEMBL848,80
CHEMBL856,3
CHEMBL861,1
CHEMBL87992,10
CHEMBL888,81
CHEMBL900,1
CHEMBL918,1
CHEMBL939,40
CHEMBL954,2
CHEMBL9960,3
